Stock,Country
SOFIX,Austria
BGBX40,Austria
BGREIT,Austria
BGTR30,Austria
CGIX,Austria
HZVG,Belgium
IGH,Belgium
DLKV,Belgium
ATPL,Belgium
DOY,Ireland
A5G,Ireland
DD7E,Ireland
DD7D,Ireland
BIRG,Ireland
C5H,Ireland
DD8A,Ireland
DD8B,Ireland
CRG,Ireland
DHG,Ireland
DLE,Ireland
GUI1,Ireland
DQ7A,Ireland
IR5B,Ireland
IRES,Ireland
ORPH,Ireland
ENI,Italy
ENEL,Italy
ISP,Italy
UCG,Italy
TS,Italy
ATL,Italy
RDSA,Netherland
UNA,Netherland
ASML,Netherland
HEIA,Netherland
REL,Netherland
ITX,Spain
SAN,Spain
IBE,Spain
BBVA,Spain
TEF,Spain
AMS,Spain
MTS,Spain
IEKG,Romania
POSR,Romania
MELR,Romania
ZVTG,Romania
LKPG,Romania
DAX30,Germany
DAX,Germany
MOEX,Germany
TSX,Germany
SAP,Germany
BMW,Germany
ADS,Germany
BAYN,Germany
ADSGN,Germany
ALVG,Germany
BASFN,Germany
BAYGN,Germany
BEIG,Germany
1COV,Germany
DAIGn,Germany
DHER,Germany
BMWG,Germany
PLNGBP,Poland
PLNEUR,Poland
PLNUSD,Poland
ROTX,Romania
SAF,France
RMS,France
RNO,France
SW,France
SNY,European
RDEIY,European
BTI,European
SAP,European
UL,European
RHHBY,European
NVS,European
NVO,European
VEA,European
